word,tf,df,tfidf
taa,677,293,50.37576228
youå«r,477,212,50.35153181
euch,1829,643,50.3502797
ge,486,216,50.34828978
groovi,581,256,50.34617109
nÌ_r,1247,487,50.33976202
sÌ´,3222,932,50.33957335
imma,1310,506,50.33236304
gimm,5185,1231,50.330791
vocÌ»,3882,1044,50.32562601
summertim,1192,472,50.31307106
won‰Ûªt,725,314,50.3094941
ele,846,359,50.29621756
zombi,826,353,50.27085411
int,1668,609,50.26177089
allt,1278,501,50.26108356
olvidart,552,247,50.25837628
hei,437,197,50.25705155
heartbreak,1352,523,50.25571592
jaim,845,361,50.24560471
igen,674,297,50.24428232
chica,923,389,50.23419043
nena,890,378,50.22399606
uit,497,226,50.17871198
uhhuh,1092,449,50.16693616
dimmi,509,232,50.15503451
medo,569,258,50.14667741
muero,1079,446,50.14530147
perchÌ¬,747,330,50.12936485
heb,665,298,50.12935145
siamo,1047,437,50.11827088
gloria,753,333,50.1130298
amen,902,388,50.10673366
superman,718,320,50.10201036
mua,448,207,50.08146035
jak,390,180,50.07995496
tak,637,289,50.07075872
carnav,348,160,50.07015796
romeo,722,323,50.06802311
jsui,1254,506,50.06370393
geen,513,237,50.05492558
kom,1188,487,50.03986684
nooit,519,241,50.01385393
hah,752,337,50.01340146
hmm,1925,693,50.01325693
bi,533,248,49.98879212
ref,667,305,49.97537375
riot,1350,541,49.96952007
africa,950,412,49.96839509
babylon,1483,580,49.96454087
we‰Ûªr,572,266,49.95828855
bailar,1291,524,49.95776529
weer,600,278,49.95644281
vorrei,878,387,49.95385625
bluebird,496,233,49.94504921
gib,615,285,49.93851366
amart,784,353,49.93135782
ahhh,960,418,49.92135817
pÌ´,4379,1170,49.91548849
berlin,673,310,49.91291208
mississippi,748,340,49.91103516
georgia,831,372,49.90580503
bobbi,1178,493,49.88892212
bailando,502,238,49.87503537
you‰Ûªr,1671,639,49.86858027
nyt,804,364,49.85958684
don‰Ûªt,3023,946,49.85229416
anni,915,406,49.84445952
enamorado,560,265,49.84202415
vaan,811,368,49.83169791
wel,534,254,49.82773546
gi,642,301,49.81979347
niÌ±a,760,349,49.81598455
memphi,843,381,49.81363884
alleen,478,229,49.81352691
mitÌ_,601,284,49.80983632
santa,2395,821,49.80485981
lÌÁ,1149,489,49.80043244
vad,892,400,49.79822526
yang,320,153,49.76203707
lili,461,223,49.7518048
thou,1728,664,49.74347317
åÀquÌ©,680,320,49.74300516
kaikki,697,327,49.74291155
dynamit,755,351,49.72944704
venus,666,315,49.72366566
aan,844,386,49.72051872
rey,556,268,49.71102678
dot,1333,554,49.6982653
mamma,1142,493,49.69727365
whoo,958,430,49.6859017
frei,802,372,49.67657368
kommer,856,393,49.67199225
qu,767,359,49.66011043
champion,664,317,49.65635954
necesito,1121,489,49.64789625
wollen,665,318,49.64271389
ven,2328,822,49.6333872
willi,1157,502,49.63244241
arriba,761,358,49.63042258
banana,653,314,49.61698366
sÌ_,904,414,49.61536063
w,1590,636,49.61383038
surf,595,289,49.61359263
ness,487,240,49.60580752
jos,1042,465,49.59535454
niin,1313,555,49.59194666
ow,1089,482,49.58386173
ur,1005,453,49.57653278
estribillo,576,282,49.57628444
gÌ´r,1061,473,49.57232822
i‰Ûªll,1107,489,49.57019463
i‰Ûªv,965,439,49.56905229
llora,584,286,49.56535896
robot,752,358,49.55319897
teu,1157,507,49.55278478
cÌ_mo,842,394,49.54684247
jest,411,205,49.54354932
adio,736,352,49.54191123
valentin,675,327,49.5318594
negra,616,302,49.51977536
deixa,456,228,49.51810298
there‰Ûª,767,366,49.51272642
gracia,682,331,49.5083662
ingent,435,218,49.50829548
eh,3502,1074,49.5077806
dub,958,440,49.50539902
waltz,554,275,49.498109
hur,584,289,49.48853004
dÌ´,564,280,49.48683543
psycho,715,346,49.4835542
quero,1716,682,49.47716567
jive,860,405,49.46887174
tango,513,257,49.46879885
alltid,473,238,49.46485814
ty,418,211,49.45958141
diablo,508,255,49.45847093
loca,719,349,49.45461604
amo,2026,766,49.45166908
dÌ_nde,670,329,49.43721328
gÌ´,575,287,49.43546679
charli,787,378,49.43221458
hush,1479,618,49.42291355
haar,768,371,49.41758161
can‰Ûªt,1354,580,49.41726453
warum,1180,524,49.40806799
li,1444,609,49.40149671
weet,531,268,49.39927573
‰Û÷caus,643,319,49.3969976
hoje,652,323,49.395696
woo,2737,937,49.38772491
leve,532,269,49.38494702
dame,2721,934,49.38371494
sou,1685,682,49.37046295
ay,6247,1505,49.36600016
olvid,653,325,49.35966972
estc,628,314,49.35855141
pudiera,369,189,49.34618333
voglio,1152,519,49.3382533
fe,1390,597,49.33767217
rubi,725,357,49.33705759
mÌ_a,746,366,49.33314037
stadt,659,329,49.32838551
joka,524,268,49.30935727
dÌ_r,703,349,49.30798065
brauch,689,343,49.3074219
uhh,1772,712,49.30112461
breakdown,865,416,49.29809443
nah,3887,1169,49.28962217
superstar,957,452,49.28760619
saa,889,426,49.28692639
Ì©l,1091,501,49.28673807
vielÌ_,496,256,49.26713673
ordinari,1361,593,49.2665882
daÌÙ,638,323,49.25260627
ole,1176,533,49.25016955
gott,806,395,49.24788561
sÌ£o,729,363,49.24642272
enÌ_Ì_,375,195,49.24460811
vampir,705,353,49.24046795
bli,652,330,49.23550857
jung,797,392,49.23456469
bara,851,414,49.23187787
cherri,1139,522,49.22252611
gangsta,2562,916,49.22162058
sanctuari,538,278,49.22127272
veneno,460,240,49.21313605
busco,861,419,49.21304017
steve,777,385,49.20962883
sarÌÊ,637,325,49.19628933
naughti,695,351,49.19035541
tiger,971,463,49.18943129
lamor,741,371,49.18654843
fearless,516,269,49.17814931
demasiado,475,249,49.1705235
nog,1061,498,49.16277998
duel,1125,521,49.16222156
it‰Ûª,2548,921,49.14319779
england,773,387,49.13691874
hem,666,341,49.12944026
quiÌ©n,889,435,49.12433229
mulher,406,215,49.12386737
wÌ_r,873,429,49.11771645
ettÌ_,445,236,49.10414074
kuinka,326,172,49.10386315
wee,599,312,49.0927824
duro,774,390,49.08621098
domani,486,258,49.07233961
seh,1584,677,49.07008645
christma,7268,1677,49.06986484
tenho,745,379,49.05910328
leva,442,236,49.05746498
oye,823,412,49.05682863
pido,897,442,49.05646259
amiga,535,283,49.05389385
deje,1058,504,49.050135
libr,1044,499,49.04729487
tun,897,443,49.03886784
wow,1795,741,49.03801165
vou,2169,841,49.03471474
gypsi,973,473,49.03418175
perchÌ©,1467,644,49.03363861
deus,667,346,49.03017323
oli,387,208,49.01899242
ooooh,1230,568,49.00894912
mina,583,308,49.00836838
mellow,686,356,48.99912146
worthi,952,467,48.99871434
kun,1994,800,48.98812068
hippi,554,295,48.98490144
fiesta,898,447,48.97587164
olla,479,258,48.97350208
vega,719,372,48.97162596
ingen,1002,489,48.95408103
gusta,1482,655,48.95353648
qued,515,277,48.95290108
ett,1412,633,48.94963476
messin,654,344,48.9450948
ar,720,374,48.94001046
harri,649,342,48.93851894
toma,589,314,48.93413954
ave,897,449,48.93412779
bum,1621,701,48.9139128
nosso,550,296,48.91177698
lass,1805,755,48.91149481
kvar,401,219,48.90837717
ohhhh,764,395,48.90574573
linda,890,448,48.90237539
bleib,609,325,48.90025874
wasteland,571,307,48.89417406
komm,2252,876,48.89242394
min,1931,792,48.89110912
elvi,712,373,48.88821168
tuyo,670,354,48.88806605
mommi,1094,528,48.8847127
virus,574,309,48.88128247
mash,784,405,48.87962172
ell,5751,1516,48.87689205
china,1047,511,48.87634773
roller,901,454,48.87574308
mut,1004,495,48.87010961
adiÌ_,723,379,48.86624729
inn,544,295,48.86320955
lieb,3176,1089,48.85476549
kuin,854,436,48.8536066
dat,4785,1377,48.85192572
manchmal,643,344,48.83434003
goodnight,1950,803,48.82906605
disconnect,549,299,48.82600338
seÌ±or,595,322,48.81554875
abr,520,285,48.81170926
sitÌ_,361,200,48.80061883
cowboy,1863,783,48.78377852
alguÌ©m,434,241,48.78324704
yonder,648,349,48.77720033
weiÌÙt,559,306,48.77699242
indian,1056,521,48.77489321
co,838,434,48.7700275
demai,335,186,48.76716194
musica,883,453,48.7666413
barrio,736,390,48.76374134
johnni,2785,1017,48.75517681
liv,608,331,48.75403755
meer,1151,558,48.75104389
jÌ©tai,587,321,48.74919887
tennesse,892,458,48.74470089
vuol,603,329,48.74461713
jama,552,304,48.74117245
mÌ_o,501,278,48.74109033
stai,497,276,48.73907454
america,2748,1011,48.73475271
vara,453,253,48.7324812
pu,559,308,48.72931484
somo,1535,690,48.72783103
teenag,1355,632,48.71837829
spanish,739,394,48.71230555
jaurai,600,329,48.711834
damour,914,469,48.71168936
frÌ´n,446,250,48.71073339
quer,933,477,48.70739873
rosa,1217,585,48.70639582
ali,781,413,48.70559411
kannst,1078,534,48.70473787
har,3943,1256,48.70292904
billi,1750,758,48.70003156
ditt,509,284,48.69355111
tod,552,306,48.6932642
dr,1049,524,48.68861166
chanson,867,451,48.6865144
heroin,577,319,48.68177815
gehn,672,365,48.67792786
u,10252,2062,48.67728316
vem,1384,645,48.67672131
louder,1306,619,48.66951318
nÌ_s,503,282,48.6648779
cantando,697,378,48.65053515
jazz,667,364,48.65016007
vuelva,869,454,48.64953642
jugar,513,288,48.64496621
av,1998,834,48.64279553
poni,641,352,48.64264332
fÌ´r,603,334,48.63310277
vuoi,1091,544,48.62978503
bonito,459,260,48.62795136
perch,758,407,48.62731948
blir,849,447,48.62401474
upp,519,292,48.62298652
pide,511,288,48.6187796
gefÌ_hl,522,294,48.61205437
egal,875,459,48.60757684
essa,671,368,48.60691062
querert,493,279,48.60678804
claro,623,345,48.60647829
fiddl,625,346,48.60589425
vengo,629,348,48.60465745
cherch,533,300,48.60453273
carol,500,283,48.5991364
cunt,544,306,48.59626712
willst,1064,536,48.59533641
noi,2161,883,48.59243589
vaikka,462,263,48.59048195
sogno,579,324,48.59026891
lee,1510,695,48.57201622
pueblo,579,325,48.56760946
rave,565,318,48.56601227
ninguÌ©m,690,379,48.56568701
farther,650,360,48.56554896
ei,3630,1216,48.56510238
sia,692,380,48.56446814
wollt,781,421,48.55885704
canta,721,394,48.55460896
willow,710,389,48.55277091
vielleicht,893,470,48.55046848
ritmo,853,453,48.55034996
pode,791,426,48.54893988
orlean,960,498,48.54617252
bonita,577,325,48.54482482
fÌÁcil,563,318,48.54258609
disco,1902,817,48.53993524
vous,3439,1182,48.53775822
tom,1334,639,48.53574023
clone,592,333,48.53448179
mala,909,478,48.52933006
pouco,404,233,48.5267553
tem,1764,778,48.52580307
usa,887,469,48.52508718
livet,485,278,48.52237801
habe,739,404,48.52197223
bella,1423,671,48.51532482
extraÌ±o,659,367,48.51064919
pare,932,489,48.506385
suav,440,254,48.50564597
teardrop,1030,529,48.50164585
saddl,609,343,48.50119496
dancer,1192,591,48.49947642
cÌ©tait,820,442,48.49265916
kaiken,319,184,48.49124948
rider,1550,715,48.48844244
besoin,748,410,48.48695974
chico,564,321,48.48551115
corr,646,362,48.48418873
libertad,965,504,48.48409962
estou,550,314,48.48069251
motherfuckin,1370,656,48.47797603
wir,10417,2119,48.47611453
cÌ¬,2093,877,48.47224404
masquerad,620,350,48.46820561
puÌ_,622,351,48.46799711
finn,677,378,48.46315859
aina,446,259,48.45980486
llorando,613,347,48.45805016
mmmm,615,348,48.45795767
mitt,975,510,48.45442295
cree,523,301,48.4541928
som,6390,1674,48.44861924
puoi,688,384,48.44841139
vaya,1179,590,48.4473822
monkey,2491,983,48.44514529
hÌ¦r,816,443,48.44456133
coisa,729,404,48.4351833
cosÌÂ,1454,688,48.4351574
hÌÁ,744,411,48.43436645
vibrat,848,458,48.4287197
z,1004,524,48.4205696
sim,347,203,48.41939349
rocket,1397,670,48.41936734
bello,660,372,48.41920393
endlich,656,371,48.40010898
vet,1010,528,48.39690868
oui,1228,612,48.39523901
olvida,456,267,48.39426182
halfway,750,416,48.3933984
ahh,3018,1112,48.39230416
rejoic,882,475,48.39116358
v,1296,637,48.39028198
quisiera,1387,669,48.38946475
siehst,586,337,48.37971162
preciso,411,242,48.37965876
aboard,555,321,48.37939536
lucif,471,276,48.37663003
gritar,430,253,48.37654925
messiah,574,331,48.37615011
din,1454,693,48.37535435
dizer,627,358,48.37336286
f,2237,926,48.37313444
nott,1192,601,48.36417116
med,2924,1095,48.36018621
outra,443,261,48.35933557
quis,586,338,48.35789066
wirst,697,393,48.35726869
ira,553,321,48.35558087
amant,778,431,48.35504457
rÌ»ves,682,386,48.35314014
sere,418,247,48.35196921
felicidad,721,405,48.34617945
penso,630,361,48.34228418
rocki,638,365,48.34198644
cruz,424,251,48.33648177
adentro,417,247,48.33555283
bucket,676,384,48.33544374
raus,878,477,48.33031652
dÌÁ,528,309,48.32708137
ama,949,508,48.31927238
muss,1239,622,48.3170725
debe,609,352,48.3094613
pasion,477,282,48.30800229
traum,685,390,48.3037847
sento,800,444,48.3029204
letzt,646,371,48.3009665
od,471,279,48.29934677
tutti,1246,626,48.2985876
vuelvo,1006,533,48.29824849
tuesday,901,489,48.29727821
estÌÁn,726,410,48.29722784
saudad,359,214,48.2958889
funki,2876,1092,48.29557031
nossa,336,200,48.2938842
fuori,623,360,48.29046723
sweeter,1064,557,48.28971534
skeleton,613,355,48.28917554
mach,1499,716,48.28262504
geh,862,473,48.28140161
faz,917,497,48.27941401
tas,1291,644,48.27841402
zoo,596,347,48.27468128
juro,550,323,48.27434425
scarlet,448,267,48.27430322
quizÌÁ,565,331,48.27237775
sig,501,297,48.26443768
ley,442,264,48.26298795
forgiven,784,439,48.26276768
mata,652,376,48.26063495
coz,1994,871,48.25955636
tenert,614,357,48.25813398
estÌ©,468,279,48.25631645
jim,932,505,48.25454678
jukebox,563,331,48.2490932
habrÌÁ,448,268,48.24776475
pourquoi,1163,599,48.24374594
entÌ£o,413,248,48.24113433
lua,348,209,48.2401662
london,1637,765,48.23938793
skate,616,359,48.23782816
voce,783,440,48.23733551
ficar,543,321,48.23520389
automat,1017,542,48.2321347
dag,1088,571,48.22677798
starlight,472,283,48.21183925
santo,449,270,48.2100703
ribbon,673,389,48.20984967
sufrir,673,389,48.20984967
quedo,623,364,48.20842395
denk,948,515,48.20552106
ll,3179,1171,48.20488904
minuto,464,279,48.19851253
javai,570,337,48.19842371
clap,2420,993,48.19777633
maim,566,335,48.19593901
dicen,1206,619,48.19566724
machen,771,437,48.19249323
decirt,633,370,48.18984746
boyfriend,1290,651,48.18582356
coro,2097,908,48.18363138
lento,469,283,48.16899066
zurÌ_ck,1080,572,48.16835069
qualquer,367,223,48.16571625
ihr,5498,1595,48.16411878
allÌÁ,668,389,48.16207089
wolf,1225,629,48.15899355
adesso,1126,591,48.15804638
scum,489,295,48.15121935
schÌ¦n,822,463,48.15062786
bist,4127,1368,48.15003703
alien,886,492,48.14596919
ando,431,262,48.14560595
april,719,415,48.14394114
spinnin,821,463,48.14303779
dado,603,357,48.14077875
primera,481,291,48.13891943
pleur,706,409,48.13812643
amour,2009,888,48.13586214
giorni,495,299,48.13573657
pone,671,392,48.13317795
jimmi,1409,698,48.13272179
voltar,370,226,48.12999024
vivr,1053,564,48.12763215
soÌ±ar,577,344,48.12726731
serÌÁ,2085,911,48.12327385
solament,605,359,48.12095712
raindrop,537,323,48.11670584
cae,384,235,48.11649652
cambia,474,288,48.11494948
nient,1368,685,48.11470974
dieu,962,527,48.1145097
muer,546,328,48.11418751
fest,687,401,48.11325561
nosotro,542,326,48.11041201
acabar,463,282,48.10771074
saben,484,294,48.10693815
jone,1262,647,48.10643128
insiem,577,345,48.10593516
fleur,672,394,48.10454336
fuist,735,425,48.10288176
0,556,334,48.1009656
spoon,1028,556,48.0956116
niemand,852,480,48.09528211
uptown,761,438,48.0929257
bem,1433,710,48.09065397
papa,2212,950,48.0889781
belov,504,306,48.08887442
ceux,1187,620,48.08820214
basta,1024,555,48.08625471
weiter,909,506,48.08546104
genau,694,406,48.08458078
demain,783,449,48.08243502
seu,1559,754,48.07982455
voyag,726,422,48.07868383
tenemo,400,246,48.0786435
cor,348,214,48.07824431
rome,740,429,48.07458555
sal,570,343,48.06894576
tÌ£o,999,546,48.06555507
werd,1253,647,48.06417382
parc,782,450,48.05741209
toca,599,359,48.0563119
sogni,530,322,48.05276527
eden,587,353,48.04920296
reviv,585,352,48.04789628
glaub,815,466,48.0476401
ohhh,1823,842,48.04368699
diga,1307,669,48.04066017
vorbei,685,404,48.03862754
brooklyn,1040,565,48.03855204
liber,864,489,48.03808128
h,855,485,48.03690089
sta,1037,564,48.03514972
junki,811,465,48.0335024
lhe,341,211,48.03254875
hago,917,513,48.03208677
verd,550,334,48.02982193
Ì©tait,856,486,48.0281981
vale,1033,563,48.02586566
estamo,732,428,48.02369154
evri,732,428,48.02369154
satellit,902,507,48.02255973
doll,1597,772,48.02137578
lotta,1189,626,48.02058249
niemal,699,412,48.01968696
kommen,663,394,48.01832636
neue,624,374,48.01754008
ahÌ_,725,425,48.01630993
cambio,582,352,48.01444991
despu,525,321,48.01284041
vuelv,1532,751,48.01244697
ella,4132,1390,48.00834711
rÌ_o,409,254,48.00692353
ora,1278,661,48.00674293
dije,501,308,48.00224788
cåÏur,611,368,48.00160351
raini,1224,641,48.00127977
distancia,402,250,48.00007326
thirsti,667,397,47.99996016
hollywood,1745,822,47.99970344
melhor,415,258,47.99659123
wer,1722,815,47.99654649
sexual,869,494,47.9948828
taint,641,384,47.99414272
locura,691,410,47.98321631
slippin,841,482,47.98261979
gee,581,353,47.98239601
olvido,1016,559,47.98197975
kan,2913,1140,47.98003961
sonn,985,546,47.97985785
donc,764,446,47.97964781
deinem,690,410,47.97401288
volar,1200,634,47.97278371
thi,2293,985,47.97277315
ond,1169,622,47.97143213
malo,732,431,47.970722
isso,545,334,47.96994122
rio,901,510,47.96979611
cariÌ±o,746,438,47.96770831
llego,543,333,47.96769051
llevar,491,304,47.96242267
balloon,557,341,47.96104567
rebel,1822,850,47.96041917
debo,446,278,47.95756024
dragon,1141,612,47.95733119
fou,622,376,47.95725946
sam,1497,744,47.95700105
dai,722,427,47.95456652
qual,466,290,47.95146433
lÌÁgrima,502,311,47.94558223
keiner,884,504,47.94479258
weit,897,510,47.94247901
blanca,384,241,47.94137075
troi,641,387,47.93614632
noit,889,507,47.93334576
curious,612,372,47.9320955
leau,540,333,47.93134832
mmm,2802,1120,47.92993221
nu,2703,1096,47.92906318
paura,556,342,47.92788849
remedi,731,433,47.92699988
rewind,953,536,47.92429198
nai,1190,634,47.92320801
contra,930,526,47.92275601
unser,1179,630,47.91915295
lontano,462,289,47.91836942
ab,1127,610,47.90997155
vela,431,271,47.90714207
boulevard,796,466,47.90071306
ich,43556,4004,47.89855474
aqu,176,102,47.89024209
muito,673,406,47.88901668
tai,819,478,47.88251456
mondo,1538,765,47.88141725
foss,485,304,47.88066882
zwei,808,473,47.87939473
shoulda,1070,589,47.87925634
gehen,1156,624,47.8791836
cum,764,452,47.87774692
seus,332,210,47.87744823
culpa,603,370,47.87637781
rendezv,523,326,47.87558216
joli,575,355,47.87339851
cose,595,366,47.87035974
sto,1159,626,47.86886655
jealousi,1068,589,47.86803642
kai,330,209,47.86752418
jahr,726,434,47.86627874
quedan,460,290,47.86469661
olho,688,415,47.86438687
sinto,339,215,47.86319879
dinero,762,452,47.86134161
mann,1361,704,47.86055984
tra,1315,687,47.85986191
tut,711,427,47.8576172
lune,532,332,47.85530139
k,1616,794,47.85420776
caer,675,409,47.85266302
cuanto,794,468,47.8522245
ter,935,533,47.85207456
sed,416,264,47.85147204
creer,621,381,47.84886232
georg,883,510,47.84590157
difÌ_cil,437,277,47.84571536
everlast,1306,685,47.84348933
sag,1519,762,47.84270009
sabor,641,392,47.84047909
prÌ¬s,492,310,47.83540182
comput,779,462,47.83215216
woe,768,457,47.82648452
soll,852,497,47.82614802
guitarra,505,318,47.82442861
searchin,826,485,47.82333448
canto,1429,732,47.82294597
kissin,729,438,47.82271902
vos,1867,878,47.82233224
jo,928,532,47.82094508
sigu,1409,725,47.8204968
cÌ©u,462,293,47.82037477
maiden,472,299,47.81859418
pushin,829,487,47.81406141
tras,748,448,47.81288061
freund,651,399,47.80736443
alegr,315,201,47.80461317
chi,3064,1198,47.80423927
despierta,353,226,47.80357635
troppo,567,354,47.8030567
buzz,1124,617,47.80274268
hai,1673,818,47.80186444
sixteen,1056,589,47.80027291
pierdo,531,334,47.79931168
sotto,629,388,47.79579306
nun,1327,697,47.79492433
quoi,1441,739,47.79279433
nessuno,518,327,47.79018845
ogni,1508,763,47.79009148
geld,672,411,47.78776633
pi,1188,644,47.78711829
agora,874,510,47.78300501
besser,658,404,47.78248907
Ì¬,7321,1919,47.78159408
dijo,706,429,47.77778466
werden,1171,638,47.7772594
fors,1026,578,47.77665526
donn,1090,605,47.77657365
niggaz,7993,2005,47.77122957
daydream,676,414,47.77088615
hart,717,435,47.77030283
wirklich,798,475,47.76965715
tocar,504,320,47.76610236
hermano,509,323,47.76382664
num,620,385,47.76101682
viver,1099,610,47.75996737
vrai,851,501,47.75693291
passa,745,450,47.75383914
tellement,634,393,47.75125654
mÌ£o,405,261,47.74957168
paranoia,457,293,47.74763069
cuatro,442,284,47.74557531
ainda,558,352,47.7405131
lindo,406,262,47.73956429
misma,644,399,47.73837495
pela,458,294,47.73798299
eterno,540,342,47.73712142
hunter,727,442,47.73656423
om,3120,1220,47.73633552
manera,721,439,47.73605739
droit,719,438,47.73584555
quem,1918,903,47.73387748
allÌ_,461,296,47.73329007
ob,930,539,47.73186645
sailor,875,514,47.72941061
tryna,1450,748,47.7288174
nem,2030,938,47.72381831
unhappi,596,374,47.72163591
chemic,1012,576,47.72139467
avait,665,411,47.72125015
lon,1266,680,47.72108775
fra,831,494,47.71896205
madr,950,549,47.71721883
stern,519,331,47.71480215
zero,1522,775,47.71359573
entonc,559,354,47.71070344
diz,390,253,47.70971802
